camera_id,Point,Location1,Location2,Camera Angle,SnapshotUrl
649da72ca6068200171a6dbb,POINT(106.70635342598 10.7710748334425),,Tôn Đức Thắng - Hàm Nghi,,http://camera.thongtingiaothong.vn/api/snapshot/649da72ca6068200171a6dbb
63b65fd8bfd3d90017eaa461,POINT(106.696085929871 10.7956526724414),,Lê Văn Duyệt - Vũ Huy Tấn,,http://camera.thongtingiaothong.vn/api/snapshot/63b65fd8bfd3d90017eaa461
5deb576d1dc17d7c5515ad08,POINT(106.637651324272 10.8041364085074),,Cộng Hòa - Tân Kỳ Tân Quý,,http://camera.thongtingiaothong.vn/api/snapshot/5deb576d1dc17d7c5515ad08
587c79e9b807da0011e33d3d,POINT(106.718965172768 10.7986878751089),Quận Bình Thạnh,Điện Biên Phủ - Nguyễn Văn Thương 2,315,http://camera.thongtingiaothong.vn/api/snapshot/587c79e9b807da0011e33d3d
63b65ebebfd3d90017eaa3ae,POINT(106.71642780304 10.7891447995017),,Nguyễn Hữu Cảnh - Ngô Tất Tố 2 (Dạ cầu Thủ Thiêm 1),,http://camera.thongtingiaothong.vn/api/snapshot/63b65ebebfd3d90017eaa3ae
5874769eb807da0011e33cec,POINT(106.657757163048 10.8001053464053),Quận Tân Bình,Cộng Hòa - Út Tịch 2,345,http://camera.thongtingiaothong.vn/api/snapshot/5874769eb807da0011e33cec
63b660f8bfd3d90017eaa4ea,POINT(106.723862886429 10.7526506780822),,Cầu Tân Thuận 2 - Q7 (Q7-Q4),,http://camera.thongtingiaothong.vn/api/snapshot/63b660f8bfd3d90017eaa4ea
58af994abd82540010390c37,POINT(106.706235408783 10.7826315159924),,Nguyễn Hữu Cảnh - Tôn Đức Thắng,195,http://camera.thongtingiaothong.vn/api/snapshot/58af994abd82540010390c37
56df8108c062921100c143db,POINT(106.674022078514 10.8090315732439),Quận Phú Nhuận,Hoàng Minh Giám - Hồng Hà,75,http://camera.thongtingiaothong.vn/api/snapshot/56df8108c062921100c143db
63ae7903bfd3d90017e8f211,POINT(106.636669635773 10.7483923035435),,Hậu Giang -  Hẻm 491,,http://camera.thongtingiaothong.vn/api/snapshot/63ae7903bfd3d90017e8f211
63ae7727bfd3d90017e8f14a,POINT(106.703719496727 10.7635071530486),,Hoàng Diệu - Đoàn Văn Bơ 2,,http://camera.thongtingiaothong.vn/api/snapshot/63ae7727bfd3d90017e8f14a
6623f36e6f998a001b252878,POINT(106.762282848358 10.8663923069317),,Phạm Văn Đồng - Kha Vạn Cân 2,,http://camera.thongtingiaothong.vn/api/snapshot/6623f36e6f998a001b252878
5d9ddec9766c880017188c9c,POINT(106.711503267288 10.8021551350728),,Nút giao Hàng Xanh 5 (Hàng Xanh - Bạch Đằng),345,http://camera.thongtingiaothong.vn/api/snapshot/5d9ddec9766c880017188c9c
5deb576d1dc17d7c5515ad02,POINT(106.691552996635 10.7843441648872),,Điện Biên Phủ - Pasteur,,http://camera.thongtingiaothong.vn/api/snapshot/5deb576d1dc17d7c5515ad02
63ae79aabfd3d90017e8f26a,POINT(106.6664904356 10.7858618271433),,Cách Mạng Tháng Tám - Trường Sơn,,http://camera.thongtingiaothong.vn/api/snapshot/63ae79aabfd3d90017e8f26a
63b66089bfd3d90017eaa4bd,POINT(106.695753335953 10.8114079914905),,Nơ Trang Long - Chu Văn An,,http://camera.thongtingiaothong.vn/api/snapshot/63b66089bfd3d90017eaa4bd
